maze_size,obstacle_density,maze_complexity_score,algorithm,path_length,optimality_ratio,success_rate,computation_time,nodes_expanded,token_usage,raw_output,path_validity_check,scenario
"(4, 4)",0.0625,6.25,BFS,1.0,1.0,1.0,1.8358230590820312e-05,3.0,,,True,Random_0.1D
"(4, 4)",0.0625,6.25,A_Star,1.0,1.0,1.0,1.0728836059570312e-05,2.0,,,True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_ascii,1.0,1.0,1.0,0.511704,,180.0,"[(2, 1), (3, 1)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_coordinate_list,1.0,1.0,1.0,0.51128,,162.0,"[(2, 1), (3, 1)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_flattened_array,1.0,1.0,1.0,0.51168,,178.0,"[(2, 1), (3, 1)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_ascii,1.0,1.0,1.0,0.513112,,179.0,"[(2, 1), (3, 1)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_coordinate_list,1.0,1.0,1.0,0.51352,,221.0,"[(2, 1), (3, 1)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_flattened_array,1.0,1.0,1.0,0.51384,,222.0,"[(2, 1), (3, 1)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_ascii,3.0,3.0,1.0,0.5324720000000001,,282.0,"Thought Process (Dimensions, Start, Goal, Step-by-Step Plan, Final Path List):
The maze is 4x4. Start is (2, 1), Goal is (3, 1). The shortest path found consists of 1 moves: D.
The complete Python path list is:
[(2, 1), (3, 1)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_coordinate_list,3.0,3.0,1.0,0.53036,,278.0,"Thought Process (Dimensions, Start, Goal, Step-by-Step Plan, Final Path List):
The maze is 4x4. Start is (2, 1), Goal is (3, 1). The shortest path found consists of 1 moves: D.
The complete Python path list is:
[(2, 1), (3, 1)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_flattened_array,3.0,3.0,1.0,0.53096,,287.0,"Thought Process (Dimensions, Start, Goal, Step-by-Step Plan, Final Path List):
The maze is 4x4. Start is (2, 1), Goal is (3, 1). The shortest path found consists of 1 moves: D.
The complete Python path list is:
[(2, 1), (3, 1)]",True,Random_0.1D
