maze_size,obstacle_density,maze_complexity_score,algorithm,path_length,optimality_ratio,success_rate,computation_time,nodes_expanded,token_usage,raw_output,path_validity_check,scenario
"(4, 4)",0.0625,6.25,BFS,3.0,1.0,1.0,6.29425048828125e-05,9.0,,,True,Random_0.1D
"(4, 4)",0.0625,6.25,A_Star,3.0,1.0,1.0,4.9591064453125e-05,6.0,,,True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_ascii,inf,inf,0.0,2.800682306289673,,216.0,"[(2, 0), (1, 0), (1, 1), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_coordinate_list,3.0,1.0,1.0,1.7966983318328857,,207.0,"[(3, 0), (2, 0), (2, 1), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_flattened_array,5.0,1.6666666666666667,1.0,3.3690054416656494,,247.0,"[(3, 0), (2, 0), (1, 0), (1, 1), (2, 1), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_ascii,inf,inf,0.0,1.2197303771972656,,255.0,"[(2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (2, 3), (2, 4), (1, 4)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_coordinate_list,3.0,1.0,1.0,0.7747864723205566,,260.0,"[(3, 0), (3, 1), (2, 1), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_flattened_array,3.0,1.0,1.0,1.7847542762756348,,288.0,"[(3,0), (2,0), (2,1), (2,2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_ascii,inf,inf,0.0,3.446471929550171,,435.0,"Maze Dimensions: 4x4
Start: (0, 3)
Goal: (2, 1)

Step-by-Step Plan:
1. Current Cell: (0, 3). Choose Next Cell: (1, 3)
2. Current Cell: (1, 3). Choose Next Cell: (2, 3)
3. Current Cell: (2, 3). Choose Next Cell: (2, 2)
4. Current Cell: (2, 2). Choose Next Cell: (2, 1) - Goal Reached

Final Path List: [(0, 3), (1, 3), (2, 3), (2, 2), (2, 1)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_coordinate_list,inf,inf,0.0,2.5653083324432373,,451.0,"Maze size: (4,4)
Start: (3,0)
Goal: (2,2)
Obstacles: [(1,3)]

Step-by-Step Plan:
1. Current cell: (3,0)
   Chosen next cell: (2,0)
   Confirm it is not a wall: No
2. Current cell: (2,0)
   Chosen next cell: (2,1)
   Confirm it is not a wall: Yes
3. Current cell: (2,1)
   Chosen next cell: (2,2)
   Confirm it is not a wall: Yes

Final Path List: [(3,0), (2,0), (2,1), (2,2)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_flattened_array,inf,inf,0.0,1.9986121654510498,,481.0,"Dimensions: 4x4
Start: (3, 0)
Goal: (2, 2)

Step-by-Step Plan:
1. Current cell: (3, 0), Next cell: (2, 0)
   - Chosen cell is not a wall/obstacle
2. Current cell: (2, 0), Next cell: (2, 1)
   - Chosen cell is not a wall/obstacle
3. Current cell: (2, 1), Next cell: (2, 2)
   - Chosen cell is not a wall/obstacle

Final Path List: [(3, 0), (2, 0), (2, 1), (2, 2)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_zero_shot_ascii,inf,inf,0.0,8.189046144485474,,246.0,"[(3, 0), (3, 1), (3, 2), (2, 2), (1, 2), (1, 3), (0, 3), (0, 2), (0, 1), (0, 0), (1, 0), (2, 0), (2, 1)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_zero_shot_coordinate_list,3.0,1.0,1.0,1.7564399242401123,,207.0,"[(3, 0), (3, 1), (3, 2), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_zero_shot_flattened_array,3.0,1.0,1.0,2.0220460891723633,,235.0,"[(3, 0), (3, 1), (3, 2), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_few_shot_ascii,inf,inf,0.0,3.0522425174713135,,240.0,"[(3,0), (2,0), (1,0), (0,0), (0,1), (0,2), (1,2), (2,2), (2,3)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_few_shot_coordinate_list,5.0,1.6666666666666667,1.0,1.7500245571136475,,266.0,"[(3,0), (3,1), (3,2), (3,3), (2,3), (2,2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_few_shot_flattened_array,3.0,1.0,1.0,1.964162826538086,,292.0,"[(3, 0), (3, 1), (3, 2), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_chain_of_thought_ascii,inf,inf,0.0,8.729848623275757,,524.0,"### Dimensions, Start, and Goal:
- The maze is a 4x4 grid.
- Start (S) is located at (3,0).
- Goal (G) is located at (2,2).

### Pathfinding Step-by-Step Plan:
1. **Current Cell:** (3,0) – Starting Point.
   - **Next Cell:** Move right to (3,1).
   - **Check for Obstacle:** No obstacle at (3,1).

2. **Current Cell:** (3,1)
   - **Next Cell:** Move right to (3,2).
   - **Check for Obstacle:** No obstacle at (3,2).

3. **Current Cell:** (3,2)
   - **Next Cell:** Move up to (2,2).
   - **Check for Obstacle:** No obstacle at (2,2). This is also the Goal.

### Final Path List:
Given the steps above and confirming that no obstacles are present on the chosen path, the final valid path from Start to Goal is:
```python
[(3,0), (3,1), (3,2), (2,2)]
```",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_chain_of_thought_coordinate_list,inf,inf,0.0,10.423221826553345,,529.0,"### Step-by-Step Reasoning:

**Maze Dimensions**: The maze is a 4x4 grid.

**Start and Goal Coordinates**:
- Start: (3,0)
- Goal: (2,2)

**Obstacles**:
- Located at (1,3)

### Plan to Navigate from Start to Goal:

1. **Start Position**: (3,0)
   - Current options: Move up to (2,0)

2. **Current Position**: (2,0)
   - **Check**: No obstacle at (2,0)
   - Next step: Move right to (2,1)

3. **Current Position**: (2,1)
   - **Check**: No obstacle at (2,1)
   - Next step: Move right to (2,2) (Goal)

### Conclusion:
- Each step moves to adjacent cells that are free of obstacles.
- The path moves vertically up from the start and then moves horizontally right towards the goal.

### Final Path List:
```python
[(3,0), (2,0), (2,1), (2,2)]
```",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_chain_of_thought_flattened_array,inf,inf,0.0,7.053318738937378,,550.0,"### Maze Dimensions
The maze is organized into a 4x4 grid (4 rows and 4 columns).

### Start and Goal Coordinates
- Start: (3, 0)
- Goal: (2, 2)

### Maze Layout Visualization:
```
0, 0, 0, 0
0, 0, 0, 1
0, 0, G, 0
S, 0, 0, 0
```
Where ""S"" is the start, ""G"" is the goal, and ""1"" represents a wall.

### Step-by-Step Plan
1. Start at (3, 0).
2. Move right to (3, 1). Confirm: no wall.
3. Move right to (3, 2). Confirm: no wall.
4. Move up to (2, 2). Confirm: no wall and this is the Goal.

### Final Path List
```python
[(3, 0), (3, 1), (3, 2), (2, 2)]
```",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4o_zero_shot_ascii,7.0,2.3333333333333335,1.0,4.546983242034912,,215.0,"[(3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4o_zero_shot_coordinate_list,3.0,1.0,1.0,1.639599323272705,,201.0,"[(3,0), (2,0), (2,1), (2,2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4o_zero_shot_flattened_array,5.0,1.6666666666666667,1.0,1.119084119796753,,245.0,"[(3, 0), (2, 0), (1, 0), (1, 1), (2, 1), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4o_few_shot_ascii,7.0,2.3333333333333335,1.0,4.192179441452026,,235.0,"[(3,0), (2,0), (1,0), (0,0), (0,1), (0,2), (1,2), (2,2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4o_few_shot_coordinate_list,3.0,1.0,1.0,1.6643331050872803,,254.0,"[(3,0), (2,0), (2,1), (2,2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4o_few_shot_flattened_array,3.0,1.0,1.0,1.7686786651611328,,290.0,"[(3, 0), (2, 0), (2, 1), (2, 2)]",True,Random_0.1D
