size_n,Model,Strategy,Input_Format,mean,std,success_percentage
4.0,4-turbo,chain,of_thought_ascii,0.3333333333333333,0.5,33.33333333333333
4.0,4-turbo,chain,of_thought_coordinate_list,0.3333333333333333,0.5,33.33333333333333
4.0,4-turbo,chain,of_thought_flattened_array,0.3333333333333333,0.5,33.33333333333333
4.0,4-turbo,few,shot_ascii,1.0,0.0,100.0
4.0,4-turbo,few,shot_coordinate_list,1.0,0.0,100.0
4.0,4-turbo,few,shot_flattened_array,1.0,0.0,100.0
4.0,4-turbo,zero,shot_ascii,1.0,0.0,100.0
4.0,4-turbo,zero,shot_coordinate_list,1.0,0.0,100.0
4.0,4-turbo,zero,shot_flattened_array,1.0,0.0,100.0
4.0,GPT-3.5,chain,of_thought_ascii,0.3333333333333333,0.5,33.33333333333333
4.0,GPT-3.5,chain,of_thought_coordinate_list,0.3333333333333333,0.5,33.33333333333333
4.0,GPT-3.5,chain,of_thought_flattened_array,0.3333333333333333,0.5,33.33333333333333
4.0,GPT-3.5,few,shot_ascii,1.0,0.0,100.0
4.0,GPT-3.5,few,shot_coordinate_list,1.0,0.0,100.0
4.0,GPT-3.5,few,shot_flattened_array,1.0,0.0,100.0
4.0,GPT-3.5,zero,shot_ascii,1.0,0.0,100.0
4.0,GPT-3.5,zero,shot_coordinate_list,1.0,0.0,100.0
4.0,GPT-3.5,zero,shot_flattened_array,1.0,0.0,100.0
4.0,GPT-4o,chain,of_thought_ascii,0.3333333333333333,0.5,33.33333333333333
4.0,GPT-4o,chain,of_thought_coordinate_list,0.3333333333333333,0.5,33.33333333333333
4.0,GPT-4o,chain,of_thought_flattened_array,0.3333333333333333,0.5,33.33333333333333
4.0,GPT-4o,few,shot_ascii,1.0,0.0,100.0
4.0,GPT-4o,few,shot_coordinate_list,1.0,0.0,100.0
4.0,GPT-4o,few,shot_flattened_array,1.0,0.0,100.0
4.0,GPT-4o,zero,shot_ascii,1.0,0.0,100.0
4.0,GPT-4o,zero,shot_coordinate_list,1.0,0.0,100.0
4.0,GPT-4o,zero,shot_flattened_array,1.0,0.0,100.0
8.0,4-turbo,chain,of_thought_ascii,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,4-turbo,chain,of_thought_coordinate_list,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,4-turbo,chain,of_thought_flattened_array,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,4-turbo,few,shot_ascii,1.0,0.0,100.0
8.0,4-turbo,few,shot_coordinate_list,1.0,0.0,100.0
8.0,4-turbo,few,shot_flattened_array,1.0,0.0,100.0
8.0,4-turbo,zero,shot_ascii,1.0,0.0,100.0
8.0,4-turbo,zero,shot_coordinate_list,1.0,0.0,100.0
8.0,4-turbo,zero,shot_flattened_array,1.0,0.0,100.0
8.0,GPT-3.5,chain,of_thought_ascii,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,GPT-3.5,chain,of_thought_coordinate_list,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,GPT-3.5,chain,of_thought_flattened_array,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,GPT-3.5,few,shot_ascii,1.0,0.0,100.0
8.0,GPT-3.5,few,shot_coordinate_list,1.0,0.0,100.0
8.0,GPT-3.5,few,shot_flattened_array,1.0,0.0,100.0
8.0,GPT-3.5,zero,shot_ascii,1.0,0.0,100.0
8.0,GPT-3.5,zero,shot_coordinate_list,1.0,0.0,100.0
8.0,GPT-3.5,zero,shot_flattened_array,1.0,0.0,100.0
8.0,GPT-4o,chain,of_thought_ascii,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,GPT-4o,chain,of_thought_coordinate_list,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,GPT-4o,chain,of_thought_flattened_array,0.1111111111111111,0.33333333333333337,11.11111111111111
8.0,GPT-4o,few,shot_ascii,1.0,0.0,100.0
8.0,GPT-4o,few,shot_coordinate_list,1.0,0.0,100.0
8.0,GPT-4o,few,shot_flattened_array,1.0,0.0,100.0
8.0,GPT-4o,zero,shot_ascii,1.0,0.0,100.0
8.0,GPT-4o,zero,shot_coordinate_list,1.0,0.0,100.0
8.0,GPT-4o,zero,shot_flattened_array,1.0,0.0,100.0
16.0,4-turbo,chain,of_thought_ascii,0.0,0.0,0.0
16.0,4-turbo,chain,of_thought_coordinate_list,0.0,0.0,0.0
16.0,4-turbo,chain,of_thought_flattened_array,0.0,0.0,0.0
16.0,4-turbo,few,shot_ascii,1.0,0.0,100.0
16.0,4-turbo,few,shot_coordinate_list,1.0,0.0,100.0
16.0,4-turbo,few,shot_flattened_array,1.0,0.0,100.0
16.0,4-turbo,zero,shot_ascii,1.0,0.0,100.0
16.0,4-turbo,zero,shot_coordinate_list,1.0,0.0,100.0
16.0,4-turbo,zero,shot_flattened_array,1.0,0.0,100.0
16.0,GPT-3.5,chain,of_thought_ascii,0.0,0.0,0.0
16.0,GPT-3.5,chain,of_thought_coordinate_list,0.0,0.0,0.0
16.0,GPT-3.5,chain,of_thought_flattened_array,0.0,0.0,0.0
16.0,GPT-3.5,few,shot_ascii,1.0,0.0,100.0
16.0,GPT-3.5,few,shot_coordinate_list,1.0,0.0,100.0
16.0,GPT-3.5,few,shot_flattened_array,1.0,0.0,100.0
16.0,GPT-3.5,zero,shot_ascii,1.0,0.0,100.0
16.0,GPT-3.5,zero,shot_coordinate_list,1.0,0.0,100.0
16.0,GPT-3.5,zero,shot_flattened_array,1.0,0.0,100.0
16.0,GPT-4o,chain,of_thought_ascii,0.0,0.0,0.0
16.0,GPT-4o,chain,of_thought_coordinate_list,0.0,0.0,0.0
16.0,GPT-4o,chain,of_thought_flattened_array,0.0,0.0,0.0
16.0,GPT-4o,few,shot_ascii,1.0,0.0,100.0
16.0,GPT-4o,few,shot_coordinate_list,1.0,0.0,100.0
16.0,GPT-4o,few,shot_flattened_array,1.0,0.0,100.0
16.0,GPT-4o,zero,shot_ascii,1.0,0.0,100.0
16.0,GPT-4o,zero,shot_coordinate_list,1.0,0.0,100.0
16.0,GPT-4o,zero,shot_flattened_array,1.0,0.0,100.0
